Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
Sh2-54;HII;18:17:53.16;-11:43:48.1;Ser;140;;;;;;;;;;;;;;;;;;;;;;;
Sh2-55;HII;18:32:11.12;-11:45:43.6;Sct;5;;;;;;;;;;;;;;;;;;;;;;;
Sh2-56;HII;18:31:06.22;-09:42:52.7;Sct;7;;;;;;;;;;;;;;;;;;;;;;;
Sh2-57;HII;18:30:33.61;-08:36:57.2;Sct;2;;;;;;;;;;;;;;;;;;;;;;;
Sh2-58;HII;18:31:27.25;-08:27:49.4;Sct;8;;;;;;;;;;;;;;;;;;;;;;;
Sh2-59;HII;18:37:01.16;-07:36:01.1;Sct;20;;;;;;;;;;;;;;;;;;;;;;;
Sh2-60;HII;18:36:41.06;-06:42:03.8;Sct;20;;;;;;;;;;;;;;;;;;;;;;;
Sh2-61;HII;18:32:55.13;-05:00:36.1;Sct;2;;;;;;;;;;;;;;;;;;;;;;;
Sh2-62;HII;18:27:34.46;-03:51:22.3;Ser;4;;;;;;;;;;;;;;;;;;;;;;;
Sh2-63;HII;19:57:43.19;-14:06:56.6;Sgr;55;;;;;;;;;;;;;;;;;;;;;;;
Sh2-64;HII;18:31:35.94;-01:54:47.0;Ser;25;;;;;;;;;;;;;;;;;;;;;;;
Sh2-65;HII;18:46:58.14;-03:44:34.7;Aql;7;;;;;;;;;;;;;;;;;;;;;;;
Sh2-66;HII;18:45:30.13;-01:59:47.0;Aql;8;;;;;;;;;;;;;;;;;;;;;;;
Sh2-67;HII;18:49:24.94;-02:21:13.5;Aql;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-68;HII;18:25:11.52;+00:51:17.7;Ser;8;;;;;;;;;;;;;;;;;;;;;;;
Sh2-69;HII;18:44:26.20;-00:16:55.9;Aql;20;;;;;;;;;;;;;;;;;;;;;;;
Sh2-70;HII;18:14:38.94;+07:03:46.9;Oph;5;;;;;;;;;;;;;;;;;;;;;;;
Sh2-71;HII;19:02:02.73;+02:09:34.7;Aql;3;;;;;;;;;;;;;;;;;;;;;;;
Sh2-72;HII;19:03:50.39;+02:18:49.9;Aql;25;;;;;;;;;;;;;;;;;;;;;;;
Sh2-73;HII;16:11:07.65;+21:52:26.6;Her;75;;;;;;;;;;;;;;;;;;;;;;;
Sh2-74;HII;19:08:49.04;+05:36:32.3;Aql;3;;;;;;;;;;;;;;;;;;;;;;;
Sh2-75;HII;18:59:15.41;+07:07:11.9;Aql;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-76;HII;18:56:25.76;+07:48:48.0;Aql;7;;;;;;;;;;;;;;;;;;;;;;;
Sh2-77;HII;19:48:17.30;+01:08:52.3;Aql;8;;;;;;;;;;;;;;;;;;;;;;;
Sh2-78;HII;19:03:11.16;+14:07:46.3;Aql;12;;;;;;;;;;;;;;;;;;;;;;;
Sh2-79;HII;19:23:18.46;+13:58:33.8;Aql;40;;;;;;;;;;;;;;;;;;;;;;;
Sh2-80;HII;19:11:28.96;+16:51:56.4;Sge;2;;;;;;;;;;;;;;;;;;;;;;;
Sh2-81;HII;20:01:13.50;+11:47:33.5;Aql;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-82;HII;19:30:20.78;+18:16:31.8;Sge;9;;;;;;;;;;;;;;;;;;;;;;;
Sh2-83;HII;19:24:32.18;+20:47:44.9;Vul;2;;;;;;;;;;;;;;;;;;;;;;;
Sh2-84;HII;19:49:04.02;+18:24:00.8;Sge;15;;;;;;;;;;;;;;;;;;;;;;;
Sh2-85;HII;19:03:17.26;+25:49:49.2;Lyr;6;;;;;;;;;;;;;;;;;;;;;;;
Sh2-86;HII;19:43:09.72;+23:17:15.2;Vul;40;;;;;;;;;;;;;;;;;;;;;;;
Sh2-87;HII;19:46:24.73;+24:37:41.0;Vul;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-88;HII;19:45:58.86;+25:20:37.7;Vul;25;;;;;;;;;;;;;;;;;;;;;;;
Sh2-89;HII;19:50:02.44;+26:29:09.7;Vul;5;;;;;;;;;;;;;;;;;;;;;;;
Sh2-90;HII;19:49:13.34;+26:52:03.4;Vul;6;;;;;;;;;;;;;;;;;;;;;;;
Sh2-91;HII;19:35:34.07;+29:36:15.8;Cyg;120;;;;;;;;;;;;;;;;;;;;;;;
Sh2-92;HII;19:46:39.34;+28:14:43.5;Vul;50;;;;;;;;;;;;;;;;;;;;;;;
Sh2-93;HII;19:55:01.25;+27:12:48.3;Vul;1;;;;;;;;;;;;;;;;;;;;;;;
Sh2-94;HII;19:27:51.64;+31:28:14.0;Cyg;25;;;;;;;;;;;;;;;;;;;;;;;
Sh2-95;HII;19:55:01.75;+29:17:48.7;Vul;1;;;;;;;;;;;;;;;;;;;;;;;
Sh2-96;HII;19:28:42.08;+32:41:21.1;Cyg;25;;;;;;;;;;;;;;;;;;;;;;;
Sh2-97;HII;19:56:05.29;+30:15:57.0;Cyg;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-98;HII;19:58:44.56;+31:25:17.5;Cyg;15;;;;;;;;;;;;;;;;;;;;;;;
Sh2-99;HII;20:00:51.06;+33:29:33.9;Cyg;5;;;;;;;;;;;;;;;;;;;;;;;
Sh2-100;HII;20:01:51.20;+33:30:41.5;Cyg;4;;;;;;;;;;;;;;;;;;;;;;;
