Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
B56;DrkN;17:08:48.67;-32:05:58.2;Sco;3.0;;;;;;;;;;;;;;;;;;;;;;;
B57;DrkN;17:08:22.25;-22:49:59.9;Oph;5.0;;;;;;;;;;;;;;;;;;;;;;;
B58;DrkN;17:11:12.26;-40:24:36.0;Sco;30.0;;;;;;;;;;;;;;;;;;;;;;;
B59;DrkN;17:11:23.62;-27:29:29.0;Oph;60.0;;;;;;;;;;;;;;;;;;;;;;;
B60;DrkN;17:11:51.19;-22:26:22.6;Oph;13.0;;;;;;;;;;;;;;;;;;;;;;;
B61;DrkN;17:14:59.98;-20:28:48.4;Oph;;;;;;;;;;;;;;;;;;;;;;;;
B62;DrkN;17:16:12.36;-20:52:35.8;Oph;19.0;;;;;;;;;;;;;;;;;;;;;;;
B63;DrkN;17:16:28.32;-21:28:33.2;Oph;60.0;;;;;;;;;;;;;;;;;;;;;;;
B64;DrkN;17:17:18.74;-18:29:23.3;Oph;;;;;;;;;;;;;;;;;;;;;;;;
B65;DrkN;17:19:36.46;-26:42:01.1;Oph;12.0;;;;;;;;;;;;;;;;;;;;;;;
B66;DrkN;17:19:57.19;-26:53:57.5;Oph;8.0;;;;;;;;;;;;;;;;;;;;;;;
B67;DrkN;17:20:57.14;-26:51:46.8;Oph;;;;;;;;;;;;;;;;;;;;;;;;
B67a;DrkN;17:22:30.07;-21:53:28.7;Oph;13.0;;;;;;;;;;;;;;;;;;;;;;;
B68;DrkN;17:22:36.48;-23:47:28.0;Oph;4.0;;;;;;;;;;;;;;;;;;;;;;;
B69;DrkN;17:22:55.94;-23:55:24.6;Oph;;;;;;;;;;;;;;;;;;;;;;;;
B70;DrkN;17:23:32.38;-24:02:17.9;Oph;4.0;;;;;;;;;;;;;;;;;;;;;;;
B71;DrkN;17:23:02.26;-24:00:23.4;Oph;1.0;;;;;;;;;;;;;;;;;;;;;;;
