Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
WR 121-4;WR*;18:49:32.31;-02:24:27.0;;;;;;;14.13;12.13;10.66;;WC7, WC8;;;;;;;;;;;;;MDM11 49,SFZ12 1528-15L;
WR 121-5;WR*;18:47:38.33;-02:06:38.9;;;;;;;16.48;12.80;10.44;;WC8;;;;;;;;;;;;;SFZ12 1527-13L,SCB12 2w07;
WR 121-6;WR*;18:51:10.76;-01:30:03.5;;;;;17.26;15.51;10.42;9.76;9.34;;WN5;;;;;;;;;;;;;DR3 4259258010195996416,SFZ12 1536-180L;
WR 121-7;WR*;18:45:49.90;-02:59:56.3;;;;;;;16.25;13.20;11.27;;WC8, WC7;;;;;;;;;;;;;SCB12 2w06,KSF14 1519-E43;
WR 121-8;WR*;18:47:57.34;-01:27:36.9;;;;;;;18.91;14.85;12.14;;WC8;;;;;;;;;;;;;SCB12 2w08;
WR 121-9;WR*;18:48:24.50;-02:06:16.2;;;;;;;17.75;13.90;11.47;;WC8;;;;;;;;;;;;;SCB12 2w09;
WR 121a;WR*;18:47:36.64;-01:56:33.8;;;;;;;14.85;11.01;8.66;;WN7+a/OB?, WN7;;;;;;;;;;;;;W43 1,CXOU J184736.6-015633;
WR 122;WR*;18:52:17.55;+00:59:44.3;;;;;;15.40;9.86;8.24;6.28;;WN;;;;;;;;;;;;;DR3 4266952014602177920,NaSt1,LS IV +00 5;
WR 122-1;WR*;19:00:15.86;+00:05:17.3;;;;;;16.88;12.18;11.30;10.30;;WC8, WC8d;;;;;;;;;;;;;DR3 4265816429591726848,IPHAS J190015.86+000517.3;
WR 122-10;WR*;19:00:59.99;+03:55:35.6;;;;;;;17.49;14.80;12.79;;WC7:;;;;;;;;;;;;;SFZ12 1583-64L;
WR 122-11;WR*;19:00:05.09;+03:47:27.1;;;;;;;16.46;13.64;11.82;;WN6;;;;;;;;;;;;;WR 1583-B73;
WR 122-12;WR*;18:52:33.12;+00:47:41.8;;;;;;;15.76;12.86;10.98;;WN9h;;;;;;;;;;;;;KSF14 1553-9E8;
WR 122-13;WR*;18:52:57.20;+00:02:54.1;;;;;;;13.96;12.25;11.16;;WN5;;;;;;;;;;;;;KSF14 1547-1488;
WR 122-14;WR*;18:53:02.56;+01:10:22.7;;;;;;;17.78;14.80;12.06;;WC8, WC8ed;;;;;;;;;;;;;KSF14 1553-15DF;
WR 122-15;WR*;19:02:42.35;+06:54:44.8;;;;;;;13.11;11.62;11.05;;WN6;;;;;;;;;;;;;DR3 4306688266055108480,KSF14 1602-9AF;
WR 122-16;WR*;19:00:11.04;+03:47:34.8;;;;;;;13.79;10.81;9.12;;WN8-9h;;;;;;;;;;;;;RHR18 #29;
WR 122-17;WR*;18:53:19.55;+03:32:52.4;;;;;;;9.98;9.20;8.60;;WC8;;;;;;;;;;;;;DR3 4280987899006804480,WR-C-46;
WR 122-18;WR*;19:02:21.70;+08:47:09.2;;;;;;;12.53;11.76;10.92;;WC6;;;;;;;;;;;;;DR3 4310524771369393536,WR-C-47;
WR 122-2;WR*;18:52:43.69;+00:08:41.6;;;;;;;12.49;10.68;9.61;;WN8-9, WN9;;;;;;;;;;;;;DR3 4266263411103249920,MDM11 51;
WR 122-3;WR*;18:54:03.12;+01:24:50.8;;;;;;;12.81;11.06;9.99;;WN5-6, WN6;;;;;;;;;;;;;DR3 4266994758119500160,MDM11 52;
WR 122-4;WR*;19:01:26.62;+03:51:55.55;;;;;;;14.70;12.67;11.25;;WC8;;;;;;;;;;;;;MDM11 53,SFZ12 1583-48L;
WR 122-5;WR*;19:01:27.12;+03:51:53.5;;;;;;;14.25;12.27;10.99;;WC8;;;;;;;;;;;;;DR3 4281254668018228096,MDM11 54,SFZ12 1583-47L;
