Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
vdB 141;RfN;21:16:26.33;+68:15:36.6;Cep;;;;;9.40;;;;;;;;;;;;;;;;;;BD+67 1300;Ghost Nebula
vdB 142;RfN;21:36:41.04;+57:30:08.3;Cep;;;;;8.80;;;;;;;;;;;;;;;;;;BD+56 2604,HD 239710;
vdB 143;RfN;21:36:57.05;+68:11:07.3;Cep;;;;;8.30;;;;;;;;;;;;;;;;;;BD+67 1332,HD 206135;
vdB 144;RfN;21:40:43.31;+54:52:19.8;Cyg;;;;;6.00;;;;;;;;;;;;;;;;;;BD+54 2595,HD 206509;
vdB 145;RfN;21:43:37.17;+48:53:01.5;Cyg;;;;;7.40;;;;;;;;;;;;;;;;;;BD+48 3485,HD 206887;
vdB 146;RfN;21:42:50.18;+66:06:35.2;Cep;;;;;9.40;;;;;;;;;;;;;;;;;;BD+65 1637;
vdB 147;RfN;21:52:34.10;+47:13:43.6;Cyg;;;;;9.50;;;;;;;;;;;;;;;;;;BD+46 3471;
vdB 148;RfN;22:07:17.00;+56:14:02.5;Cep;;;;;8.70;;;;;;;;;;;;;;;;;;BD+55 2682,HD 239856;
vdB 149;RfN;22:09:08.49;+72:53:05.0;Cep;;;;;9.10;;;;;;;;;;;;;;;;;;BD+72 1018;
vdB 150;RfN;22:09:40.13;+73:23:27.2;Cep;;;;;8.40;;;;;;;;;;;;;;;;;;BD+72 1020,HD 210806;
vdB 151;RfN;22:13:52.73;+39:42:53.7;Lac;;;;;4.49;;;;;;;;;;;;;;;;;;BD+38 4711,HD 211073;
vdB 152;RfN;22:13:24.53;+70:15:05.1;Cep;;;;;8.80;;;;;;;;;;;;;;;;;;BD+69 1231;
vdB 153;RfN;22:23:12.26;+62:41:59.9;Cep;;;;;9.40;;;;;;;;;;;;;;;;;;BD+61 2292;
vdB 154;RfN;22:31:13.58;+65:27:58.5;Cep;;;;;8.90;;;;;;;;;;;;;;;;;;BD+64 1677;
vdB 155;RfN;22:53:15.60;+62:08:45.0;Cep;;;;;9.29;;;;;;;;;;;;;;;;;;BD+61 2361,HD 216629;
vdB 156;RfN;23:01:55.26;+42:19:33.5;And;;;;;3.62;;;;;;;;;;;;;;;;;;BD+41 4664,HD 217675;
vdB 157;RfN;23:02:15.73;+72:43:49.4;Cep;;;;;7.80;;;;;;;;;;;;;;;;;;BD+71 1181,HD 217903;
vdB 158;RfN;23:37:51.60;+48:29:47.6;And;;;;;9.00;;;;;;;;;;;;;;;;;;BD+47 4220,HD 222142;
