Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
Abell 53;PN;19:06:45.85;+06:23:55.7;Aql;0.52;;;;;;;;;;;;;;;;;;;;;;PN G040.3-00.4,A 53,PK 40-00 1,A55 41,ARO 183,VV' 478;
Abell 54;PN;19:08:39.34;+22:58:51.3;Vul;0.93;;;;;;;;;;;;;;;;;;;;;;PN G055.3+06.6,A 54,PK 55+06 1,A55 42,ARO 184,VV' 479;
Abell 55;PN;19:10:30.45;-02:21:02.0;Aql;1.03;;;;;;;;;;;;;;;;;;;;;;PN G033.0-05.3,A 55,PK 33-05 1,A55 43,VV' 480;
Abell 56;PN;19:13:06.64;+02:52:49.1;Aql;3.02;;;;;;;;;;;;;;;;;;;;;;PN G037.9-03.4,A 56,PK 37-03 2,A55 44,ARO 146,VV' 483;
Abell 57;PN;19:17:03.56;+25:37:26.4;Vul;0.62;;;;;;;;;;;;;;;;;;;;;;PN G058.6+06.1,A 57,PK 58+06 1,A55 46,ARO 149,VV' 490;
Abell 58;PN;19:18:20.38;+01:46:50.7;Aql;0.67;;;;;;;;;;;;;;;;;;;;;;PN G037.5-05.1,A 58,PK 37-05 1,A55 45,ARO 150,VV' 489;
Abell 59;PN;19:18:40.95;+19:33:55.8;Sge;1.45;;;;;;;;;;;;;;;;;;;;;;PN G053.3+03.0,A 59,PK 53+03 1,A55 48,ARO 84,VV' 494;
Abell 60;PN;19:19:17.52;-12:14:51.9;Sgr;1.23;;;;;;;;;;;;;;;;;;;;;;PN G025.0-11.6,A 60,PK 25-11 1,A55 47,ARO 314,VV' 493;
Abell 61;PN;19:19:10.19;+46:14:36.3;Cyg;3.33;;;;;;;;;;;;;;;;;;;;;;PN G077.6+14.7,A 61,PK 77+14 1,A55 49,VV' 495;
Abell 62;PN;19:33:18.33;+10:37:01.0;Aql;2.68;;;;;;;;;;;;;;;;;;;;;;PN G047.1-04.2,A 62,PK 47-04 1,A55 50,ARO 155,VV' 501;
Abell 63;PN;19:42:10.49;+17:05:07.6;Sge;0.67;;;;;;;;;;;;;;;;;;;;;;PN G053.8-03.0,A 63,PK 53-03 1,A55 51,ARO 161,VV' 509;
Abell 64;PN;19:45:34.82;+05:33:51.7;Aql;;;;;;;;;;;;;;;;;;;;;;;PN A66 64;
Abell 65;PN;19:46:33.77;-23:08:12.5;Sgr;1.67;;;;;;;;;;;;;;;;;;;;;;PN G017.3-21.9,A 65,PK 17-21 1,ARO 26,ESO 526-03,Sh 2- 52,VV' 513;
Abell 66;PN;19:57:31.81;-21:36:36.9;Sgr;4.45;;;;;;;;;;;;;;;;;;;;;;PN G019.8-23.7,A 66,PK 19-23 1,A55 53,ARO 339,ESO 595-04,VV' 519;
Abell 67;PN;19:58:29.27;+03:02:22.5;Aql;1.12;;;;;;;;;;;;;;;;;;;;;;PN G043.5-13.4,A 67,PK 43-13 1,A55 54,ARO 117,VV' 520;
Abell 68;PN;20:00:10.78;+21:42:57.6;Vul;0.63;;;;;;;;;;;;;;;;;;;;;;PN G060.0-04.3,A 68,PK 60-04 1,A55 55,ARO 166,VV' 522;
Abell 69;PN;20:19:56.40;+38:24:31.2;Cyg;0.37;;;;;;;;;;;;;;;;;;;;;;PN G076.3+01.1,A 69,PK 76+01 1,A55 56,ARO 15,VV' 533;
Abell 70;PN;20:31:33.15;-07:05:21.2;Aql;0.70;;;;;;;;;;;;;;;;;;;;;;PN G038.1-25.4,A 70,PK 38-25 1,A55 57,ARO 351,VV' 536;
Abell 71;PN;20:32:23.24;+47:21:03.4;Cyg;2.62;;;;;;;;;;;;;;;;;;;;;;PN G084.9+04.4,A 71,PK 85+04 1,A55 58,ARO 352,Sh 2-116,VV' 537;
Abell 72;PN;20:50:02.04;+13:33:28.2;Del;2.12;;;;;;;;;;;;;;;;;;;;;;PN G059.7-18.7,A 72,PK 59-18 1,A55 59,ARO 173,VV' 538;
Abell 73;PN;20:56:26.28;+57:25:56.3;Cep;1.22;;;;;;;;;;;;;;;;;;;;;;PN G095.2+07.8,A 73,PK 95+07 1,A55 60,ARO 356,VV' 539;
